model,model_name,input_shape,backend,precision,stage,op_group,op_type,execution_domain,pdpu_candidate,tokens,channels,embedding_dim,input_bytes,output_bytes,weight_bytes,output_elements,kernel_elements,groups,in_channels_actual,out_channels_actual,estimated_macs,nonlinear_ops,estimated_latency_share,estimated_energy_share,layer_name,module_type,trace_source,evidence_label
MobileViT-XXS,mobilevit_xxs,1x3x192x192,mps,fp32,stem,spatial_conv,Conv2d 3x3,PDPU-extension candidate,extension,196,128,128,442368,589824,1728,147456,9,1,3,16,3981312,0,1.8955,1.8955,stem.conv,Conv2d,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XXS,mobilevit_xxs,1x3x192x192,mps,fp32,stem,control_residual,Identity,electronic remainder,no,196,128,128,589824,589824,0,147456,1,1,0,0,0,0,8.0000,8.0000,stem.bn.drop,Identity,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XXS,mobilevit_xxs,1x3x192x192,mps,fp32,stem,normalization_softmax_activation,SiLU,electronic remainder,no,196,128,128,589824,589824,0,147456,1,1,0,0,0,147456,8.0000,8.0000,stem.bn.act,SiLU,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XXS,mobilevit_xxs,1x3x192x192,mps,fp32,stages,pointwise_conv,Conv2d 1x1,PDPU-extension candidate,extension,196,128,128,589824,1179648,2048,294912,1,1,16,32,4718592,0,2.2465,2.2465,stages.0.0.conv1_1x1.conv,Conv2d,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XXS,mobilevit_xxs,1x3x192x192,mps,fp32,stages,control_residual,Identity,electronic remainder,no,196,128,128,1179648,1179648,0,294912,1,1,0,0,0,0,8.0000,8.0000,stages.0.0.conv1_1x1.bn.drop,Identity,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XXS,mobilevit_xxs,1x3x192x192,mps,fp32,stages,normalization_softmax_activation,SiLU,electronic remainder,no,196,128,128,1179648,1179648,0,294912,1,1,0,0,0,294912,8.0000,8.0000,stages.0.0.conv1_1x1.bn.act,SiLU,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XXS,mobilevit_xxs,1x3x192x192,mps,fp32,stages,depthwise_conv,Depthwise Conv2d 3x3,PDPU-extension candidate,extension,196,128,128,1179648,1179648,1152,294912,9,32,32,32,2654208,0,1.2637,1.2637,stages.0.0.conv2_kxk.conv,Conv2d,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XXS,mobilevit_xxs,1x3x192x192,mps,fp32,stages,control_residual,Identity,electronic remainder,no,196,128,128,1179648,1179648,0,294912,1,1,0,0,0,0,8.0000,8.0000,stages.0.0.conv2_kxk.bn.drop,Identity,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XXS,mobilevit_xxs,1x3x192x192,mps,fp32,stages,normalization_softmax_activation,SiLU,electronic remainder,no,196,128,128,1179648,1179648,0,294912,1,1,0,0,0,294912,8.0000,8.0000,stages.0.0.conv2_kxk.bn.act,SiLU,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XXS,mobilevit_xxs,1x3x192x192,mps,fp32,stages,control_residual,Identity,electronic remainder,no,196,128,128,1179648,1179648,0,294912,1,1,0,0,0,0,8.0000,8.0000,stages.0.0.conv2b_kxk,Identity,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XXS,mobilevit_xxs,1x3x192x192,mps,fp32,stages,control_residual,Identity,electronic remainder,no,196,128,128,1179648,1179648,0,294912,1,1,0,0,0,0,8.0000,8.0000,stages.0.0.attn,Identity,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XXS,mobilevit_xxs,1x3x192x192,mps,fp32,stages,pointwise_conv,Conv2d 1x1,PDPU-extension candidate,extension,196,128,128,1179648,589824,2048,147456,1,1,32,16,4718592,0,2.2465,2.2465,stages.0.0.conv3_1x1.conv,Conv2d,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XXS,mobilevit_xxs,1x3x192x192,mps,fp32,stages,control_residual,Identity,electronic remainder,no,196,128,128,589824,589824,0,147456,1,1,0,0,0,0,8.0000,8.0000,stages.0.0.conv3_1x1.bn.drop,Identity,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XXS,mobilevit_xxs,1x3x192x192,mps,fp32,stages,normalization_softmax_activation,Identity,electronic remainder,no,196,128,128,589824,589824,0,147456,1,1,0,0,0,147456,8.0000,8.0000,stages.0.0.conv3_1x1.bn.act,Identity,torch_hooks,local torch/timm hook trace; not edge evidence
