model_variant,component_group,energy_mj,share_percent,raw_energy_mj,normalization_factor,normalization_target_mj,evidence_label,activity_source,unit_cost_status,evidence_tier
MobileViT-XXS,Optical source and passive loss budget,0.000854,1.8092,0.000854156,1.000000,,local torch/timm trace-driven HPAT activity model,trace_driven_operator_activity,explicit_modelled_unit_costs_with_metadata,local trace-driven/modelled
MobileViT-XXS,DAC and input modulation,0.009926,21.0243,0.009926046,1.000000,,local torch/timm trace-driven HPAT activity model,trace_driven_operator_activity,explicit_modelled_unit_costs_with_metadata,local trace-driven/modelled
MobileViT-XXS,MRR programming/hold tuning,0.002195,4.6502,0.002195471,1.000000,,local torch/timm trace-driven HPAT activity model,trace_driven_operator_activity,explicit_modelled_unit_costs_with_metadata,local trace-driven/modelled
MobileViT-XXS,Thermal tuning/tracking,0.000001,0.0027,0.000001294,1.000000,,local torch/timm trace-driven HPAT activity model,trace_driven_operator_activity,explicit_modelled_unit_costs_with_metadata,local trace-driven/modelled
MobileViT-XXS,O/E readout,0.014275,30.2357,0.014274973,1.000000,,local torch/timm trace-driven HPAT activity model,trace_driven_operator_activity,explicit_modelled_unit_costs_with_metadata,local trace-driven/modelled
MobileViT-XXS,SRAM/eDRAM local buffers,0.006758,14.3135,0.006757751,1.000000,,local torch/timm trace-driven HPAT activity model,trace_driven_operator_activity,explicit_modelled_unit_costs_with_metadata,local trace-driven/modelled
MobileViT-XXS,Electrical bus/data movement,0.011357,24.0560,0.011357402,1.000000,,local torch/timm trace-driven HPAT activity model,trace_driven_operator_activity,explicit_modelled_unit_costs_with_metadata,local trace-driven/modelled
MobileViT-XXS,Digital accumulation/control,0.000015,0.0327,0.000015448,1.000000,,local torch/timm trace-driven HPAT activity model,trace_driven_operator_activity,explicit_modelled_unit_costs_with_metadata,local trace-driven/modelled
MobileViT-XXS,LayerNorm/softmax/nonlinear electronics,0.000960,2.0329,0.000959760,1.000000,,local torch/timm trace-driven HPAT activity model,trace_driven_operator_activity,explicit_modelled_unit_costs_with_metadata,local trace-driven/modelled
MobileViT-XXS,Amortized calibration,0.000870,1.8427,0.000870000,1.000000,,local torch/timm trace-driven HPAT activity model,trace_driven_operator_activity,explicit_modelled_unit_costs_with_metadata,local trace-driven/modelled
MobileViT-XS,Optical source and passive loss budget,0.003663,2.6925,0.003663193,1.000000,,local torch/timm trace-driven HPAT activity model,trace_driven_operator_activity,explicit_modelled_unit_costs_with_metadata,local trace-driven/modelled
MobileViT-XS,DAC and input modulation,0.028475,20.9300,0.028475417,1.000000,,local torch/timm trace-driven HPAT activity model,trace_driven_operator_activity,explicit_modelled_unit_costs_with_metadata,local trace-driven/modelled
MobileViT-XS,MRR programming/hold tuning,0.004227,3.1072,0.004227333,1.000000,,local torch/timm trace-driven HPAT activity model,trace_driven_operator_activity,explicit_modelled_unit_costs_with_metadata,local trace-driven/modelled
MobileViT-XS,Thermal tuning/tracking,0.000011,0.0078,0.000010643,1.000000,,local torch/timm trace-driven HPAT activity model,trace_driven_operator_activity,explicit_modelled_unit_costs_with_metadata,local trace-driven/modelled
MobileViT-XS,O/E readout,0.040354,29.6607,0.040353667,1.000000,,local torch/timm trace-driven HPAT activity model,trace_driven_operator_activity,explicit_modelled_unit_costs_with_metadata,local trace-driven/modelled
MobileViT-XS,SRAM/eDRAM local buffers,0.020720,15.2299,0.020720333,1.000000,,local torch/timm trace-driven HPAT activity model,trace_driven_operator_activity,explicit_modelled_unit_costs_with_metadata,local trace-driven/modelled
MobileViT-XS,Electrical bus/data movement,0.034703,25.5070,0.034702522,1.000000,,local torch/timm trace-driven HPAT activity model,trace_driven_operator_activity,explicit_modelled_unit_costs_with_metadata,local trace-driven/modelled
MobileViT-XS,Digital accumulation/control,0.000043,0.0314,0.000042768,1.000000,,local torch/timm trace-driven HPAT activity model,trace_driven_operator_activity,explicit_modelled_unit_costs_with_metadata,local trace-driven/modelled
MobileViT-XS,LayerNorm/softmax/nonlinear electronics,0.002985,2.1940,0.002984912,1.000000,,local torch/timm trace-driven HPAT activity model,trace_driven_operator_activity,explicit_modelled_unit_costs_with_metadata,local trace-driven/modelled
MobileViT-XS,Amortized calibration,0.000870,0.6395,0.000870000,1.000000,,local torch/timm trace-driven HPAT activity model,trace_driven_operator_activity,explicit_modelled_unit_costs_with_metadata,local trace-driven/modelled
MobileViT-S,Optical source and passive loss budget,0.009269,4.0099,0.009269385,1.000000,,local torch/timm trace-driven HPAT activity model,trace_driven_operator_activity,explicit_modelled_unit_costs_with_metadata,local trace-driven/modelled
MobileViT-S,DAC and input modulation,0.047380,20.4964,0.047379503,1.000000,,local torch/timm trace-driven HPAT activity model,trace_driven_operator_activity,explicit_modelled_unit_costs_with_metadata,local trace-driven/modelled
MobileViT-S,MRR programming/hold tuning,0.010012,4.3311,0.010011684,1.000000,,local torch/timm trace-driven HPAT activity model,trace_driven_operator_activity,explicit_modelled_unit_costs_with_metadata,local trace-driven/modelled
MobileViT-S,Thermal tuning/tracking,0.000073,0.0314,0.000072669,1.000000,,local torch/timm trace-driven HPAT activity model,trace_driven_operator_activity,explicit_modelled_unit_costs_with_metadata,local trace-driven/modelled
MobileViT-S,O/E readout,0.067476,29.1901,0.067475760,1.000000,,local torch/timm trace-driven HPAT activity model,trace_driven_operator_activity,explicit_modelled_unit_costs_with_metadata,local trace-driven/modelled
MobileViT-S,SRAM/eDRAM local buffers,0.034022,14.7181,0.034022467,1.000000,,local torch/timm trace-driven HPAT activity model,trace_driven_operator_activity,explicit_modelled_unit_costs_with_metadata,local trace-driven/modelled
MobileViT-S,Electrical bus/data movement,0.057098,24.7005,0.057097664,1.000000,,local torch/timm trace-driven HPAT activity model,trace_driven_operator_activity,explicit_modelled_unit_costs_with_metadata,local trace-driven/modelled
MobileViT-S,Digital accumulation/control,0.000071,0.0306,0.000070728,1.000000,,local torch/timm trace-driven HPAT activity model,trace_driven_operator_activity,explicit_modelled_unit_costs_with_metadata,local trace-driven/modelled
MobileViT-S,LayerNorm/softmax/nonlinear electronics,0.004890,2.1155,0.004890112,1.000000,,local torch/timm trace-driven HPAT activity model,trace_driven_operator_activity,explicit_modelled_unit_costs_with_metadata,local trace-driven/modelled
MobileViT-S,Amortized calibration,0.000870,0.3764,0.000870000,1.000000,,local torch/timm trace-driven HPAT activity model,trace_driven_operator_activity,explicit_modelled_unit_costs_with_metadata,local trace-driven/modelled
