model,scenario,scenario_label,mapped_fraction,optical_speedup_assumption,e2e_speedup_upper_bound,evidence_tier,claim_status,claim_boundary
MobileViT-XXS,linear_only,Traced Linear only,0.35956000,1.000000,1.000000,local module-hook trace,conservative trace-only baseline,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-XXS,linear_only,Traced Linear only,0.35956000,2.000000,1.219185,local module-hook trace,conservative trace-only baseline,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-XXS,linear_only,Traced Linear only,0.35956000,4.000000,1.369244,local module-hook trace,conservative trace-only baseline,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-XXS,linear_only,Traced Linear only,0.35956000,8.000000,1.459034,local module-hook trace,conservative trace-only baseline,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-XXS,linear_only,Traced Linear only,0.35956000,16.000000,1.508495,local module-hook trace,conservative trace-only baseline,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-XXS,linear_only,Traced Linear only,0.35956000,32.000000,1.534504,local module-hook trace,conservative trace-only baseline,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-XXS,linear_only,Traced Linear only,0.35956000,64.000000,1.547848,local module-hook trace,conservative trace-only baseline,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-XXS,plus_pointwise_attention,Reasonable-high: + 1x1 conv + attention matmuls,0.67776700,1.000000,1.000000,local module trace plus attention-shape-derived function-op estimate,paper-facing reasonable-high boundary,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-XXS,plus_pointwise_attention,Reasonable-high: + 1x1 conv + attention matmuls,0.67776700,2.000000,1.512593,local module trace plus attention-shape-derived function-op estimate,paper-facing reasonable-high boundary,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-XXS,plus_pointwise_attention,Reasonable-high: + 1x1 conv + attention matmuls,0.67776700,4.000000,2.033865,local module trace plus attention-shape-derived function-op estimate,paper-facing reasonable-high boundary,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-XXS,plus_pointwise_attention,Reasonable-high: + 1x1 conv + attention matmuls,0.67776700,8.000000,2.457281,local module trace plus attention-shape-derived function-op estimate,paper-facing reasonable-high boundary,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-XXS,plus_pointwise_attention,Reasonable-high: + 1x1 conv + attention matmuls,0.67776700,16.000000,2.742781,local module trace plus attention-shape-derived function-op estimate,paper-facing reasonable-high boundary,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-XXS,plus_pointwise_attention,Reasonable-high: + 1x1 conv + attention matmuls,0.67776700,32.000000,2.911944,local module trace plus attention-shape-derived function-op estimate,paper-facing reasonable-high boundary,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-XXS,plus_pointwise_attention,Reasonable-high: + 1x1 conv + attention matmuls,0.67776700,64.000000,3.004599,local module trace plus attention-shape-derived function-op estimate,paper-facing reasonable-high boundary,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-XXS,maximal_all_mac,Maximal direct-streaming all-MAC mapping,1.00000000,1.000000,1.000000,local shape/MAC trace with analytical direct sliding-window convolution lowering,engineering-only analytical ceiling; not paper-facing,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-XXS,maximal_all_mac,Maximal direct-streaming all-MAC mapping,1.00000000,2.000000,2.000000,local shape/MAC trace with analytical direct sliding-window convolution lowering,engineering-only analytical ceiling; not paper-facing,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-XXS,maximal_all_mac,Maximal direct-streaming all-MAC mapping,1.00000000,4.000000,4.000000,local shape/MAC trace with analytical direct sliding-window convolution lowering,engineering-only analytical ceiling; not paper-facing,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-XXS,maximal_all_mac,Maximal direct-streaming all-MAC mapping,1.00000000,8.000000,8.000000,local shape/MAC trace with analytical direct sliding-window convolution lowering,engineering-only analytical ceiling; not paper-facing,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-XXS,maximal_all_mac,Maximal direct-streaming all-MAC mapping,1.00000000,16.000000,16.000000,local shape/MAC trace with analytical direct sliding-window convolution lowering,engineering-only analytical ceiling; not paper-facing,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-XXS,maximal_all_mac,Maximal direct-streaming all-MAC mapping,1.00000000,32.000000,32.000000,local shape/MAC trace with analytical direct sliding-window convolution lowering,engineering-only analytical ceiling; not paper-facing,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-XXS,maximal_all_mac,Maximal direct-streaming all-MAC mapping,1.00000000,64.000000,64.000000,local shape/MAC trace with analytical direct sliding-window convolution lowering,engineering-only analytical ceiling; not paper-facing,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-XS,linear_only,Traced Linear only,0.30835700,1.000000,1.000000,local module-hook trace,conservative trace-only baseline,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-XS,linear_only,Traced Linear only,0.30835700,2.000000,1.182283,local module-hook trace,conservative trace-only baseline,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-XS,linear_only,Traced Linear only,0.30835700,4.000000,1.300843,local module-hook trace,conservative trace-only baseline,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-XS,linear_only,Traced Linear only,0.30835700,8.000000,1.369511,local module-hook trace,conservative trace-only baseline,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-XS,linear_only,Traced Linear only,0.30835700,16.000000,1.406637,local module-hook trace,conservative trace-only baseline,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-XS,linear_only,Traced Linear only,0.30835700,32.000000,1.425966,local module-hook trace,conservative trace-only baseline,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-XS,linear_only,Traced Linear only,0.30835700,64.000000,1.435830,local module-hook trace,conservative trace-only baseline,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
MobileViT-XS,plus_pointwise_attention,Reasonable-high: + 1x1 conv + attention matmuls,0.79049600,1.000000,1.000000,local module trace plus attention-shape-derived function-op estimate,paper-facing reasonable-high boundary,"Mapping opportunity and Amdahl design bound only; not measured HPAT runtime, energy, edge deployment, or fabricated-silicon evidence."
