variant,effect,sweep_variable,sweep_value,trial_count,sample_count,label_count,clean_top1_mean,perturbed_top1_mean,top1_delta_mean,top1_drop_mean,top1_drop_p05,top1_drop_p50,top1_drop_p95,clean_top5_mean,perturbed_top5_mean,top5_delta_mean,top5_drop_mean,top5_drop_p05,top5_drop_p50,top5_drop_p95,prediction_change_rate_mean,prediction_change_rate_p05,prediction_change_rate_p50,prediction_change_rate_p95,mean_relative_error_mean,p95_relative_error,seeds,device,metric_kind,evidence_label,claim_boundary
MobileViT-S,gaussian_pd_tia_noise,noise_lsb,0.0,5,1024,1024,75.9766,75.9766,0.0000,0.0000,0.0000,0.0000,0.0000,96.5820,96.5820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,"20260706,20260707,20260708,20260709,20260710",mps,top-1/top-5 accuracy delta on fixed labeled subset,calibrated-proxy-v2 non-overlapping module-output diagnostic; not internal optical-operator accuracy evidence; repeated stochastic seed envelope,"Fixed-subset robustness/sensitivity only; not full ImageNet validation, not silicon validation, and not measured HPAT edge/mobile deployment."
MobileViT-S,gaussian_pd_tia_noise,noise_lsb,0.25,5,1024,1024,75.9766,75.8984,-0.0781,0.0781,0.0000,0.0977,0.1758,96.5820,96.5820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0977,0.0195,0.0977,0.1758,,,"20260706,20260707,20260708,20260709,20260710",mps,top-1/top-5 accuracy delta on fixed labeled subset,calibrated-proxy-v2 non-overlapping module-output diagnostic; not internal optical-operator accuracy evidence; repeated stochastic seed envelope,"Fixed-subset robustness/sensitivity only; not full ImageNet validation, not silicon validation, and not measured HPAT edge/mobile deployment."
MobileViT-S,gaussian_pd_tia_noise,noise_lsb,0.5,5,1024,1024,75.9766,75.8984,-0.0781,0.0977,0.0000,0.0000,0.2735,96.5820,96.5430,-0.0391,0.0391,0.0000,0.0000,0.0977,0.3125,0.1953,0.2930,0.5273,,,"20260706,20260707,20260708,20260709,20260710",mps,top-1/top-5 accuracy delta on fixed labeled subset,calibrated-proxy-v2 non-overlapping module-output diagnostic; not internal optical-operator accuracy evidence; repeated stochastic seed envelope,"Fixed-subset robustness/sensitivity only; not full ImageNet validation, not silicon validation, and not measured HPAT edge/mobile deployment."
MobileViT-S,gaussian_pd_tia_noise,noise_lsb,1.0,5,1024,1024,75.9766,75.7812,-0.1953,0.1953,0.0977,0.1953,0.2930,96.5820,96.4649,-0.1172,0.1172,0.0195,0.0977,0.2539,0.8203,0.6054,0.7812,1.1718,,,"20260706,20260707,20260708,20260709,20260710",mps,top-1/top-5 accuracy delta on fixed labeled subset,calibrated-proxy-v2 non-overlapping module-output diagnostic; not internal optical-operator accuracy evidence; repeated stochastic seed envelope,"Fixed-subset robustness/sensitivity only; not full ImageNet validation, not silicon validation, and not measured HPAT edge/mobile deployment."
MobileViT-S,mrr_variation,sigma_percent,0.0,5,1024,1024,75.9766,75.9766,0.0000,0.0000,0.0000,0.0000,0.0000,96.5820,96.5820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,"20260706,20260707,20260708,20260709,20260710",mps,top-1/top-5 accuracy delta on fixed labeled subset,calibrated-proxy-v2 non-overlapping module-output diagnostic; not internal optical-operator accuracy evidence; repeated stochastic seed envelope,"Fixed-subset robustness/sensitivity only; not full ImageNet validation, not silicon validation, and not measured HPAT edge/mobile deployment."
MobileViT-S,mrr_variation,sigma_percent,1.0,5,1024,1024,75.9766,75.8594,-0.1172,0.1172,0.0000,0.0977,0.2735,96.5820,96.5039,-0.0781,0.0977,0.0000,0.0977,0.2539,0.6250,0.2149,0.6836,0.8594,,,"20260706,20260707,20260708,20260709,20260710",mps,top-1/top-5 accuracy delta on fixed labeled subset,calibrated-proxy-v2 non-overlapping module-output diagnostic; not internal optical-operator accuracy evidence; repeated stochastic seed envelope,"Fixed-subset robustness/sensitivity only; not full ImageNet validation, not silicon validation, and not measured HPAT edge/mobile deployment."
MobileViT-S,mrr_variation,sigma_percent,3.0,5,1024,1024,75.9766,75.5078,-0.4687,0.4687,0.1953,0.4883,0.8203,96.5820,96.2695,-0.3125,0.3125,0.1953,0.2930,0.4688,2.2070,1.6992,2.2461,2.5196,,,"20260706,20260707,20260708,20260709,20260710",mps,top-1/top-5 accuracy delta on fixed labeled subset,calibrated-proxy-v2 non-overlapping module-output diagnostic; not internal optical-operator accuracy evidence; repeated stochastic seed envelope,"Fixed-subset robustness/sensitivity only; not full ImageNet validation, not silicon validation, and not measured HPAT edge/mobile deployment."
MobileViT-S,mrr_variation,sigma_percent,5.0,5,1024,1024,75.9766,74.9805,-0.9961,0.9961,0.8789,0.8789,1.2891,96.5820,96.0156,-0.5664,0.5664,0.3125,0.6836,0.7617,3.7695,3.1836,3.6133,4.6094,,,"20260706,20260707,20260708,20260709,20260710",mps,top-1/top-5 accuracy delta on fixed labeled subset,calibrated-proxy-v2 non-overlapping module-output diagnostic; not internal optical-operator accuracy evidence; repeated stochastic seed envelope,"Fixed-subset robustness/sensitivity only; not full ImageNet validation, not silicon validation, and not measured HPAT edge/mobile deployment."
MobileViT-S,thermal_drift,delta_c,0.0,5,1024,1024,75.9766,75.9766,0.0000,0.0000,0.0000,0.0000,0.0000,96.5820,96.5820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,"20260706,20260707,20260708,20260709,20260710",mps,top-1/top-5 accuracy delta on fixed labeled subset,calibrated-proxy-v2 non-overlapping module-output diagnostic; not internal optical-operator accuracy evidence; repeated stochastic seed envelope,"Fixed-subset robustness/sensitivity only; not full ImageNet validation, not silicon validation, and not measured HPAT edge/mobile deployment."
MobileViT-S,thermal_drift,delta_c,10.0,5,1024,1024,75.9766,75.5078,-0.4687,0.6055,0.0586,0.6836,1.1718,96.5820,95.8399,-0.7422,0.7422,0.2149,0.7812,1.1328,5.4883,5.0196,5.2734,6.0937,,,"20260706,20260707,20260708,20260709,20260710",mps,top-1/top-5 accuracy delta on fixed labeled subset,calibrated-proxy-v2 non-overlapping module-output diagnostic; not internal optical-operator accuracy evidence; repeated stochastic seed envelope,"Fixed-subset robustness/sensitivity only; not full ImageNet validation, not silicon validation, and not measured HPAT edge/mobile deployment."
MobileViT-S,thermal_drift,delta_c,2.0,5,1024,1024,75.9766,75.7226,-0.2539,0.2539,0.1172,0.1953,0.5078,96.5820,96.4062,-0.1758,0.1758,0.0195,0.1953,0.3515,1.1133,0.8789,1.0742,1.3672,,,"20260706,20260707,20260708,20260709,20260710",mps,top-1/top-5 accuracy delta on fixed labeled subset,calibrated-proxy-v2 non-overlapping module-output diagnostic; not internal optical-operator accuracy evidence; repeated stochastic seed envelope,"Fixed-subset robustness/sensitivity only; not full ImageNet validation, not silicon validation, and not measured HPAT edge/mobile deployment."
MobileViT-S,thermal_drift,delta_c,5.0,5,1024,1024,75.9766,75.6250,-0.3516,0.4102,0.0391,0.2930,0.9570,96.5820,96.2305,-0.3516,0.3516,0.2148,0.3906,0.4688,2.8320,2.2656,3.1250,3.2812,,,"20260706,20260707,20260708,20260709,20260710",mps,top-1/top-5 accuracy delta on fixed labeled subset,calibrated-proxy-v2 non-overlapping module-output diagnostic; not internal optical-operator accuracy evidence; repeated stochastic seed envelope,"Fixed-subset robustness/sensitivity only; not full ImageNet validation, not silicon validation, and not measured HPAT edge/mobile deployment."
MobileViT-S,wdm_adjacent_crosstalk,crosstalk_alpha,0.0,1,1024,1024,75.9766,75.9766,0.0000,0.0000,0.0000,0.0000,0.0000,96.5820,96.5820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,20260706,mps,top-1/top-5 accuracy delta on fixed labeled subset,calibrated-proxy-v2 non-overlapping module-output diagnostic; not internal optical-operator accuracy evidence,"Fixed-subset robustness/sensitivity only; not full ImageNet validation, not silicon validation, and not measured HPAT edge/mobile deployment."
MobileViT-S,wdm_adjacent_crosstalk,crosstalk_alpha,0.01,1,1024,1024,75.9766,75.7812,-0.1953,0.1953,0.1953,0.1953,0.1953,96.5820,96.2891,-0.2930,0.2930,0.2930,0.2930,0.2930,0.1953,0.1953,0.1953,0.1953,,,20260706,mps,top-1/top-5 accuracy delta on fixed labeled subset,calibrated-proxy-v2 non-overlapping module-output diagnostic; not internal optical-operator accuracy evidence,"Fixed-subset robustness/sensitivity only; not full ImageNet validation, not silicon validation, and not measured HPAT edge/mobile deployment."
MobileViT-S,wdm_adjacent_crosstalk,crosstalk_alpha,0.03,1,1024,1024,75.9766,75.8789,-0.0977,0.0977,0.0977,0.0977,0.0977,96.5820,96.2891,-0.2930,0.2930,0.2930,0.2930,0.2930,0.6836,0.6836,0.6836,0.6836,,,20260706,mps,top-1/top-5 accuracy delta on fixed labeled subset,calibrated-proxy-v2 non-overlapping module-output diagnostic; not internal optical-operator accuracy evidence,"Fixed-subset robustness/sensitivity only; not full ImageNet validation, not silicon validation, and not measured HPAT edge/mobile deployment."
MobileViT-S,wdm_adjacent_crosstalk,crosstalk_alpha,0.05,1,1024,1024,75.9766,75.8789,-0.0977,0.0977,0.0977,0.0977,0.0977,96.5820,96.1914,-0.3906,0.3906,0.3906,0.3906,0.3906,1.1719,1.1719,1.1719,1.1719,,,20260706,mps,top-1/top-5 accuracy delta on fixed labeled subset,calibrated-proxy-v2 non-overlapping module-output diagnostic; not internal optical-operator accuracy evidence,"Fixed-subset robustness/sensitivity only; not full ImageNet validation, not silicon validation, and not measured HPAT edge/mobile deployment."
MobileViT-XS,gaussian_pd_tia_noise,noise_lsb,0.0,5,1024,1024,70.8984,70.8984,0.0000,0.0000,0.0000,0.0000,0.0000,91.6992,91.6992,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,"20260706,20260707,20260708,20260709,20260710",mps,top-1/top-5 accuracy delta on fixed labeled subset,calibrated-proxy-v2 non-overlapping module-output diagnostic; not internal optical-operator accuracy evidence; repeated stochastic seed envelope,"Fixed-subset robustness/sensitivity only; not full ImageNet validation, not silicon validation, and not measured HPAT edge/mobile deployment."
MobileViT-XS,gaussian_pd_tia_noise,noise_lsb,0.25,5,1024,1024,70.8984,70.8594,-0.0391,0.0586,0.0000,0.0977,0.0977,91.6992,91.7383,0.0391,0.0000,0.0000,0.0000,0.0000,0.2930,0.1368,0.2930,0.3906,,,"20260706,20260707,20260708,20260709,20260710",mps,top-1/top-5 accuracy delta on fixed labeled subset,calibrated-proxy-v2 non-overlapping module-output diagnostic; not internal optical-operator accuracy evidence; repeated stochastic seed envelope,"Fixed-subset robustness/sensitivity only; not full ImageNet validation, not silicon validation, and not measured HPAT edge/mobile deployment."
MobileViT-XS,gaussian_pd_tia_noise,noise_lsb,0.5,5,1024,1024,70.8984,70.8203,-0.0781,0.0977,0.0195,0.0977,0.1758,91.6992,91.7578,0.0586,0.0000,0.0000,0.0000,0.0000,0.7031,0.2149,0.7812,0.9766,,,"20260706,20260707,20260708,20260709,20260710",mps,top-1/top-5 accuracy delta on fixed labeled subset,calibrated-proxy-v2 non-overlapping module-output diagnostic; not internal optical-operator accuracy evidence; repeated stochastic seed envelope,"Fixed-subset robustness/sensitivity only; not full ImageNet validation, not silicon validation, and not measured HPAT edge/mobile deployment."
MobileViT-XS,gaussian_pd_tia_noise,noise_lsb,1.0,5,1024,1024,70.8984,70.7812,-0.1172,0.1172,0.0195,0.0977,0.1953,91.6992,92.0703,0.3711,0.0000,0.0000,0.0000,0.0000,1.4844,1.2500,1.5625,1.5625,,,"20260706,20260707,20260708,20260709,20260710",mps,top-1/top-5 accuracy delta on fixed labeled subset,calibrated-proxy-v2 non-overlapping module-output diagnostic; not internal optical-operator accuracy evidence; repeated stochastic seed envelope,"Fixed-subset robustness/sensitivity only; not full ImageNet validation, not silicon validation, and not measured HPAT edge/mobile deployment."
MobileViT-XS,mrr_variation,sigma_percent,0.0,5,1024,1024,70.8984,70.8984,0.0000,0.0000,0.0000,0.0000,0.0000,91.6992,91.6992,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,"20260706,20260707,20260708,20260709,20260710",mps,top-1/top-5 accuracy delta on fixed labeled subset,calibrated-proxy-v2 non-overlapping module-output diagnostic; not internal optical-operator accuracy evidence; repeated stochastic seed envelope,"Fixed-subset robustness/sensitivity only; not full ImageNet validation, not silicon validation, and not measured HPAT edge/mobile deployment."
MobileViT-XS,mrr_variation,sigma_percent,1.0,5,1024,1024,70.8984,70.8984,-0.0000,0.0977,0.0195,0.0977,0.1758,91.6992,91.8945,0.1953,0.0000,0.0000,0.0000,0.0000,1.3281,1.0742,1.4648,1.5430,,,"20260706,20260707,20260708,20260709,20260710",mps,top-1/top-5 accuracy delta on fixed labeled subset,calibrated-proxy-v2 non-overlapping module-output diagnostic; not internal optical-operator accuracy evidence; repeated stochastic seed envelope,"Fixed-subset robustness/sensitivity only; not full ImageNet validation, not silicon validation, and not measured HPAT edge/mobile deployment."
MobileViT-XS,mrr_variation,sigma_percent,3.0,5,1024,1024,70.8984,70.9961,0.0977,0.1367,0.0000,0.0000,0.3711,91.6992,91.9531,0.2539,0.0000,0.0000,0.0000,0.0000,3.8281,3.2422,3.8086,4.5703,,,"20260706,20260707,20260708,20260709,20260710",mps,top-1/top-5 accuracy delta on fixed labeled subset,calibrated-proxy-v2 non-overlapping module-output diagnostic; not internal optical-operator accuracy evidence; repeated stochastic seed envelope,"Fixed-subset robustness/sensitivity only; not full ImageNet validation, not silicon validation, and not measured HPAT edge/mobile deployment."
MobileViT-XS,mrr_variation,sigma_percent,5.0,5,1024,1024,70.8984,70.8398,-0.0586,0.2344,0.0000,0.0977,0.6250,91.6992,92.0508,0.3516,0.0000,0.0000,0.0000,0.0000,6.4844,5.6641,6.9336,6.9336,,,"20260706,20260707,20260708,20260709,20260710",mps,top-1/top-5 accuracy delta on fixed labeled subset,calibrated-proxy-v2 non-overlapping module-output diagnostic; not internal optical-operator accuracy evidence; repeated stochastic seed envelope,"Fixed-subset robustness/sensitivity only; not full ImageNet validation, not silicon validation, and not measured HPAT edge/mobile deployment."
MobileViT-XS,thermal_drift,delta_c,0.0,5,1024,1024,70.8984,70.8984,0.0000,0.0000,0.0000,0.0000,0.0000,91.6992,91.6992,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,"20260706,20260707,20260708,20260709,20260710",mps,top-1/top-5 accuracy delta on fixed labeled subset,calibrated-proxy-v2 non-overlapping module-output diagnostic; not internal optical-operator accuracy evidence; repeated stochastic seed envelope,"Fixed-subset robustness/sensitivity only; not full ImageNet validation, not silicon validation, and not measured HPAT edge/mobile deployment."
MobileViT-XS,thermal_drift,delta_c,10.0,5,1024,1024,70.8984,70.5664,-0.3320,0.6445,0.0000,0.9766,1.1524,91.6992,91.7383,0.0391,0.0781,0.0000,0.0000,0.2539,8.5156,7.5000,8.6914,9.4726,,,"20260706,20260707,20260708,20260709,20260710",mps,top-1/top-5 accuracy delta on fixed labeled subset,calibrated-proxy-v2 non-overlapping module-output diagnostic; not internal optical-operator accuracy evidence; repeated stochastic seed envelope,"Fixed-subset robustness/sensitivity only; not full ImageNet validation, not silicon validation, and not measured HPAT edge/mobile deployment."
MobileViT-XS,thermal_drift,delta_c,2.0,5,1024,1024,70.8984,70.8789,-0.0195,0.0781,0.0000,0.0000,0.2539,91.6992,91.8945,0.1953,0.0195,0.0000,0.0000,0.0782,1.4648,1.2695,1.3672,1.7383,,,"20260706,20260707,20260708,20260709,20260710",mps,top-1/top-5 accuracy delta on fixed labeled subset,calibrated-proxy-v2 non-overlapping module-output diagnostic; not internal optical-operator accuracy evidence; repeated stochastic seed envelope,"Fixed-subset robustness/sensitivity only; not full ImageNet validation, not silicon validation, and not measured HPAT edge/mobile deployment."
MobileViT-XS,thermal_drift,delta_c,5.0,5,1024,1024,70.8984,70.9570,0.0586,0.1367,0.0000,0.0000,0.3711,91.6992,91.8359,0.1367,0.0195,0.0000,0.0000,0.0782,4.4141,3.3203,4.6875,5.2539,,,"20260706,20260707,20260708,20260709,20260710",mps,top-1/top-5 accuracy delta on fixed labeled subset,calibrated-proxy-v2 non-overlapping module-output diagnostic; not internal optical-operator accuracy evidence; repeated stochastic seed envelope,"Fixed-subset robustness/sensitivity only; not full ImageNet validation, not silicon validation, and not measured HPAT edge/mobile deployment."
MobileViT-XS,wdm_adjacent_crosstalk,crosstalk_alpha,0.0,1,1024,1024,70.8984,70.8984,0.0000,0.0000,0.0000,0.0000,0.0000,91.6992,91.6992,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,20260706,mps,top-1/top-5 accuracy delta on fixed labeled subset,calibrated-proxy-v2 non-overlapping module-output diagnostic; not internal optical-operator accuracy evidence,"Fixed-subset robustness/sensitivity only; not full ImageNet validation, not silicon validation, and not measured HPAT edge/mobile deployment."
