variant,effect,sweep_variable,sweep_value,trial_count,sample_count,new_error_rate_mean,new_error_rate_p05,new_error_rate_p50,new_error_rate_p95,recovery_rate_mean,recovery_rate_p05,recovery_rate_p50,recovery_rate_p95,net_top1_drop_mean,prediction_change_rate_mean,seeds,metric_definition,claim_boundary
MobileViT-S,gaussian_pd_tia_noise,noise_lsb,0.0,5,1024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"20260706,20260707,20260708,20260709,20260710",percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
MobileViT-S,gaussian_pd_tia_noise,noise_lsb,0.25,5,1024,0.0781,0.0000,0.0977,0.1758,0.0000,0.0000,0.0000,0.0000,0.0781,0.0977,"20260706,20260707,20260708,20260709,20260710",percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
MobileViT-S,gaussian_pd_tia_noise,noise_lsb,0.5,5,1024,0.1758,0.0977,0.0977,0.3516,0.0977,0.0195,0.0977,0.1758,0.0781,0.3125,"20260706,20260707,20260708,20260709,20260710",percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
MobileViT-S,gaussian_pd_tia_noise,noise_lsb,1.0,5,1024,0.3906,0.2930,0.3906,0.4883,0.1953,0.1953,0.1953,0.1953,0.1953,0.8203,"20260706,20260707,20260708,20260709,20260710",percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
MobileViT-S,mrr_variation,sigma_percent,0.0,5,1024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"20260706,20260707,20260708,20260709,20260710",percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
MobileViT-S,mrr_variation,sigma_percent,1.0,5,1024,0.2539,0.0391,0.1953,0.4687,0.1367,0.0195,0.1953,0.1953,0.1172,0.6250,"20260706,20260707,20260708,20260709,20260710",percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
MobileViT-S,mrr_variation,sigma_percent,3.0,5,1024,0.8984,0.6055,0.9766,1.1523,0.4297,0.3125,0.3906,0.5664,0.4688,2.2070,"20260706,20260707,20260708,20260709,20260710",percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
MobileViT-S,mrr_variation,sigma_percent,5.0,5,1024,1.6602,1.5625,1.6602,1.8164,0.6641,0.5273,0.6836,0.7617,0.9961,3.7695,"20260706,20260707,20260708,20260709,20260710",percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
MobileViT-S,thermal_drift,delta_c,0.0,5,1024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"20260706,20260707,20260708,20260709,20260710",percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
MobileViT-S,thermal_drift,delta_c,2.0,5,1024,0.4688,0.3125,0.3906,0.6641,0.2148,0.0977,0.1953,0.3711,0.2539,1.1133,"20260706,20260707,20260708,20260709,20260710",percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
